key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
5083	224	5078	(B,F) ^^ Sa-	0	to	to		545a	9	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5083.html	(B, F) ― ϣⲁ-	"<span class=""word B F"">(<span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling B F"">― ϣⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ϣⲁ-	"<span class=""word B F"">(<span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling B F"">― ϣⲁ-</span></span>"	-		to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a						― ϣⲁ-	― ϣⲁ-				1
5084	224	5078	^^ Ka-	0	beneath	beneath		545a	10	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5084.html	― ϧⲁ-	"<span class=""word""><span class=""spelling"">― ϧⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ϧⲁ-	"<span class=""word""><span class=""spelling"">― ϧⲁ-</span></span>"	-		beneath	beneath	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	― ϧⲁ-	1
5085	224	5078	^^ Katen-	0	up to	up to		545a	11	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5085.html	― ϧⲁⲧⲉⲛ-	"<span class=""word""><span class=""spelling"">― ϧⲁⲧⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϧⲁⲧⲉⲛ-	"<span class=""word""><span class=""spelling"">― ϧⲁⲧⲉⲛ-</span></span>"	-		up to	up to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	― ϧⲁⲧⲉⲛ-	1
5086	224	5078	^^ Ha-	0	to	to		545a	12	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5086.html	― ϩⲁ-	"<span class=""word""><span class=""spelling"">― ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲁ-	"<span class=""word""><span class=""spelling"">― ϩⲁ-</span></span>"	-		to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	― ϩⲁ-	1
5087	224	5078	^^ Hi-	0	on	on		545a	13	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5087.html	― ϩⲓ-	"<span class=""word""><span class=""spelling"">― ϩⲓ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲓ-	"<span class=""word""><span class=""spelling"">― ϩⲓ-</span></span>"	-		on	on	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	― ϩⲓ-	1
5088	224	5078	(S,B,F) ^^ Hn-,^^ Ken-	0	in	in		545a	14	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5088.html	(S, B, F) ― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S B F"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S B F"">― ϩⲛ-</span>, <span class=""spelling S B F"">― ϧⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S B F"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S B F"">― ϩⲛ-</span>, <span class=""spelling S B F"">― ϧⲉⲛ-</span></span>"	-		in	in	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ϩⲛ-, ― ϧⲉⲛ-					― ϩⲛ-, ― ϧⲉⲛ-	― ϩⲛ-, ― ϧⲉⲛ-				1
5089	224	5078	^^ Hiren-	0	to	to		545a	15	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5089.html	― ϩⲓⲣⲉⲛ-	"<span class=""word""><span class=""spelling"">― ϩⲓⲣⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲓⲣⲉⲛ-	"<span class=""word""><span class=""spelling"">― ϩⲓⲣⲉⲛ-</span></span>"	-		to	to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	― ϩⲓⲣⲉⲛ-	1
5090	224	0		99	With following adverb:	With following adverb:		545a	16	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5090.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a											0
5091	224	5090	(S,sA,B) ^^ ebol	0	go forth	go forth		545a	17	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5091.html	(S, sA, B) ― ⲉⲃⲟⲗ	"<span class=""word S sA B"">(<span class=""dialect S"">S</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>) <span class=""spelling S sA B"">― ⲉⲃⲟⲗ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲃⲟⲗ	"<span class=""word S sA B"">(<span class=""dialect S"">S</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>) <span class=""spelling S sA B"">― ⲉⲃⲟⲗ</span></span>"	-		go forth	go forth	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	― ⲉⲃⲟⲗ				― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ					1
7265	224	5091	(S,B) ^^^ *^[ebol]^* e-	0				545a	18	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7265.html	(S, B) <i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲉ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">{ⲉⲃⲟⲗ} ⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	{ⲉⲃⲟⲗ} ⲉ- (c)					{ⲉⲃⲟⲗ} ⲉ- (c)					2
7266	224	5091	^^^ *^[ebol]^* eHren-	0				545a	19	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7266.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϩⲣⲉⲛ- (c)	2
7267	224	5091	^^^ *^[ebol]^* n-	0				545a	20	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7267.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	2
7268	224	5091	^^^ *^[ebol]^* Ha-	0				545a	21	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7268.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲁ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲁ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545a	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	{ⲉⲃⲟⲗ} ϩⲁ- (c)	2
7269	224	5091	^^^ *^[ebol]^* Hi-	0				545b	22	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7269.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲓ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲓ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	{ⲉⲃⲟⲗ} ϩⲓ- (c)	2
7270	224	5091	^^^ *^[ebol]^* HiJen-	0				545b	23	2010-08-09	1900-01-01	vagrant		https://pishoyg.github.io/crum/7270.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	{ⲉⲃⲟⲗ} ϩⲓϫⲉⲛ- (c)	2
5092	224	5090	^^ sabol n-	0	go forth from	go forth from		545b	24	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5092.html	― ⲥⲁⲃⲟⲗ ⲛ-	"<span class=""word""><span class=""spelling"">― ⲥⲁⲃⲟⲗ ⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ⲥⲁⲃⲟⲗ ⲛ-	"<span class=""word""><span class=""spelling"">― ⲥⲁⲃⲟⲗ ⲛ-</span></span>"	-		go forth from	go forth from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	― ⲥⲁⲃⲟⲗ ⲛ-	1
5093	224	5090	(B,F) ^^ epesht	0	go down /$gk: [[katabainein]]$/	go down /$gk: [[katabainein]]$/	katabainein	545b	25	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5093.html	(B, F) ― ⲉⲡⲉⲥⲏⲧ	"<span class=""word B F"">(<span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling B F"">― ⲉⲡⲉⲥⲏⲧ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲡⲉⲥⲏⲧ	"<span class=""word B F"">(<span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling B F"">― ⲉⲡⲉⲥⲏⲧ</span></span>"	-	καταβαινειν	go down [καταβαινειν]	go down	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b						― ⲉⲡⲉⲥⲏⲧ	― ⲉⲡⲉⲥⲏⲧ				1
5094	224	5090	^^ epSwi	0	go up /$gk: [[anabainein]]$/	go up /$gk: [[anabainein]]$/	anabainein	545b	26	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5094.html	― ⲉⲡϣⲱⲓ	"<span class=""word""><span class=""spelling"">― ⲉⲡϣⲱⲓ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲡϣⲱⲓ	"<span class=""word""><span class=""spelling"">― ⲉⲡϣⲱⲓ</span></span>"	-	αναβαινειν	go up [αναβαινειν]	go up	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	― ⲉⲡϣⲱⲓ	1
5095	224	5090	(S,Sa,sA,B,F) ^^ eHoun,^^ eKoun	0	go in	go in		545b	27	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5095.html	(S, Sa, sA, B, F) ― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word S Sa sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect Sa"">Sa</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S Sa sA B F"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling S Sa sA B F"">― ⲉϧⲟⲩⲛ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	"<span class=""word S Sa sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect Sa"">Sa</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S Sa sA B F"">― ⲉϩⲟⲩⲛ</span>, <span class=""spelling S Sa sA B F"">― ⲉϧⲟⲩⲛ</span></span>"	-		go in	go in	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ			― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ	― ⲉϩⲟⲩⲛ, ― ⲉϧⲟⲩⲛ				1
5096	224	5090	^^ eKrhi e-	0	go down to	go down to		545b	28	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5096.html	― ⲉϧⲣⲏⲓ ⲉ-	"<span class=""word""><span class=""spelling"">― ⲉϧⲣⲏⲓ ⲉ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉϧⲣⲏⲓ ⲉ-	"<span class=""word""><span class=""spelling"">― ⲉϧⲣⲏⲓ ⲉ-</span></span>"	-		go down to	go down to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	― ⲉϧⲣⲏⲓ ⲉ-	1
5097	224	5090	(B,F) ^^ eHrhi	0	go up /$gk: [[anabainein]]$/	go up /$gk: [[anabainein]]$/	anabainein	545b	29	2010-04-29	1900-01-01	vagrant		https://pishoyg.github.io/crum/5097.html	(B, F) ― ⲉϩⲣⲏⲓ	"<span class=""word B F"">(<span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling B F"">― ⲉϩⲣⲏⲓ</span> <span class=""nag-hammadi""></span></span>"	― ⲉϩⲣⲏⲓ	"<span class=""word B F"">(<span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling B F"">― ⲉϩⲣⲏⲓ</span></span>"	-	αναβαινειν	go up [αναβαινειν]	go up	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=545b						― ⲉϩⲣⲏⲓ	― ⲉϩⲣⲏⲓ				1
3275	225	0	"taite qe (S) qe te taei *^<a href=ext Gospel of Judas;824;8;4;qe te taei etFnar xrasqai mparan;Gospel of Judas;824;16;15;qe te taei ntaFtamio mpkeseepe nnaiwn mpouoin"">Ext</a>^*"""	0	this is the way, thus	this is the way, thus		639a	1	2010-03-19	2011-02-24	vagrant	vagrant	https://pishoyg.github.io/crum/3275.html	"ⲧⲁⲓⲧⲉ ⲑⲉ
(S) ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ {ext Gospel of Judas; 824; 8; 4; ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ ⲉⲧϥⲛⲁⲣ ⲭⲣⲁⲥⲑⲁⲓ ⲙⲡⲁⲣⲁⲛ; Ext}, {Gospel of Judas; 824; 16; 15; ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ ⲛⲧⲁϥⲧⲁⲙⲓⲟ ⲙⲡⲕⲉⲥⲉⲉⲡⲉ ⲛⲛⲁⲓⲱⲛ ⲙⲡⲟⲩⲟⲓⲛ; Ext}"	"<span class=""word""><span class=""spelling"">ⲧⲁⲓⲧⲉ ⲑⲉ</span> <span class=""nag-hammadi""></span></span>
<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ</span> <span class=""nag-hammadi"">{ext Gospel of Judas; 824; 8; 4; ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ ⲉⲧϥⲛⲁⲣ ⲭⲣⲁⲥⲑⲁⲓ ⲙⲡⲁⲣⲁⲛ; Ext}, {Gospel of Judas; 824; 16; 15; ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ ⲛⲧⲁϥⲧⲁⲙⲓⲟ ⲙⲡⲕⲉⲥⲉⲉⲡⲉ ⲛⲛⲁⲓⲱⲛ ⲙⲡⲟⲩⲟⲓⲛ; Ext}</span></span>"	ⲧⲁⲓⲧⲉ ⲑⲉ, ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ	"<span class=""word""><span class=""spelling"">ⲧⲁⲓⲧⲉ ⲑⲉ</span></span>
<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ</span></span>"	-		this is the way, thus	this is the way, thus	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=639a	"ⲧⲁⲓⲧⲉ ⲑⲉ
ⲑⲉ ⲧⲉ ⲧⲁⲉⲓ"	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	ⲧⲁⲓⲧⲉ ⲑⲉ	0
3276	225	0	teiHe,taiK.	0				639a	2	2010-03-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/3276.html	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	"<span class=""word""><span class=""spelling"">ⲧⲉⲓϩⲉ</span>, <span class=""spelling"">ⲧⲁⲓϧ.</span> <span class=""nag-hammadi""></span></span>"	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	"<span class=""word""><span class=""spelling"">ⲧⲉⲓϩⲉ</span>, <span class=""spelling"">ⲧⲁⲓϧ.</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=639a	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	ⲧⲉⲓϩⲉ, ⲧⲁⲓϧ.	0
3277	225	0	oun qe	0	there is a way, it is possible	there is a way, it is possible		639a	3	2010-03-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/3277.html	ⲟⲩⲛ ⲑⲉ	"<span class=""word""><span class=""spelling"">ⲟⲩⲛ ⲑⲉ</span> <span class=""nag-hammadi""></span></span>"	ⲟⲩⲛ ⲑⲉ	"<span class=""word""><span class=""spelling"">ⲟⲩⲛ ⲑⲉ</span></span>"	-		there is a way, it is possible	there is a way, it is possible	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=639a	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	ⲟⲩⲛ ⲑⲉ	0
3278	225	0	mn qe	0	there is not a way	there is not a way		639a	4	2010-03-19	1900-01-01	vagrant		https://pishoyg.github.io/crum/3278.html	ⲙⲛ ⲑⲉ	"<span class=""word""><span class=""spelling"">ⲙⲛ ⲑⲉ</span> <span class=""nag-hammadi""></span></span>"	ⲙⲛ ⲑⲉ	"<span class=""word""><span class=""spelling"">ⲙⲛ ⲑⲉ</span></span>"	-		there is not a way	there is not a way	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=639a	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	ⲙⲛ ⲑⲉ	0
3279	225	0	nqe n-	0	in manner of, even as /$gk: [[ws, wsei]]$/ |$ (iterated) |$ ([nqe] before prep or advb) /$gk: [[ws]]$/ |$ (without preceding [n-]) /$gk: [[ws, wsper]]$/	in manner of, even as /$gk: [[ws, wsei]]$/ |$ (iterated) |$ ([nqe] before prep or advb) /$gk: [[ws]]$/ |$ (without preceding [n-]) /$gk: [[ws, wsper]]$/	ws, wsei, wsper	639a	5	2010-03-19	2012-03-26	vagrant	vagrant	https://pishoyg.github.io/crum/3279.html	ⲛⲑⲉ ⲛ-	"<span class=""word""><span class=""spelling"">ⲛⲑⲉ ⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲛⲑⲉ ⲛ-	"<span class=""word""><span class=""spelling"">ⲛⲑⲉ ⲛ-</span></span>"	-	ωσ, ωσει, ωσπερ	"in manner of, even as [ωσ, ωσει]
― <i>iterated</i>
― <i>ⲛⲑⲉ before prep or advb</i> [ωσ]
― <i>without preceding ⲛ-</i> [ωσ, ωσπερ]"	"in manner of, even as 
― <i>iterated</i>
― <i>ⲛⲑⲉ before prep or advb</i> 
― <i>without preceding ⲛ-</i>"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=639a	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	ⲛⲑⲉ ⲛ-	0
